"Trinity_protein" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" "TRINITY_DN21464_c0_g1_i1" "tr|A0A1Q9E613|A0A1Q9E613_SYMMI" 38.298 611 346 10 801 2570 567 1167 6.69e-116 382
"27623" "TRINITY_DN18614_c1_g1_i1" "tr|A0A1Q9E339|A0A1Q9E339_SYMMI" 34.81 158 98 2 1067 1525 1079 1236 8.49e-20 96.3
"27624" "TRINITY_DN18614_c1_g1_i7" "tr|A0A1Q9E339|A0A1Q9E339_SYMMI" 34.81 158 98 2 1067 1525 1079 1236 9.7e-20 96.3
"27625" "TRINITY_DN18656_c1_g4_i2" "tr|A0A1Q9D4Z4|A0A1Q9D4Z4_SYMMI" 36.364 198 116 5 131 694 34 231 1.18e-24 102
"27626" "TRINITY_DN18656_c1_g4_i1" "tr|A0A1Q9D4Z4|A0A1Q9D4Z4_SYMMI" 36.364 198 116 5 131 694 34 231 7.83e-25 102
"27627" "TRINITY_DN18606_c0_g1_i2" "tr|A0A1Q9ED27|A0A1Q9ED27_SYMMI" 39.752 161 91 1 1190 726 412 572 1.31e-14 78.6
"27628" "TRINITY_DN18606_c0_g1_i2" "tr|A0A1Q9ED27|A0A1Q9ED27_SYMMI" 38.281 128 79 0 1190 807 478 605 9.25e-11 66.2
"27629" "TRINITY_DN18639_c0_g1_i8" "tr|A0A1Q9CNR9|A0A1Q9CNR9_SYMMI" 38.681 455 252 6 95 1387 230 681 9.5e-96 311
"27630" "TRINITY_DN18639_c0_g1_i5" "tr|A0A1Q9CNR9|A0A1Q9CNR9_SYMMI" 38.462 455 270 5 95 1438 230 681 5.18e-98 317
"27631" "TRINITY_DN18603_c0_g1_i1" "tr|A0A1Q9CEB2|A0A1Q9CEB2_SYMMI" 45.584 985 474 24 3515 690 1057 2022 0 759
"27632" "TRINITY_DN18618_c0_g2_i1" "tr|A0A1Q9CZ95|A0A1Q9CZ95_SYMMI" 44.025 159 84 2 465 1 120 277 2.95e-31 119
"27633" "TRINITY_DN18618_c0_g2_i1" "tr|A0A1Q9CZ95|A0A1Q9CZ95_SYMMI" 44.025 159 84 2 465 1 456 613 3.85e-31 119
"27634" "TRINITY_DN18681_c0_g3_i1" "tr|A0A1Q9C7S1|A0A1Q9C7S1_SYMMI" 52.439 82 37 1 353 108 529 608 5.46e-24 98.6
"27635" "TRINITY_DN18774_c0_g1_i1" "tr|A0A1Q9DM85|A0A1Q9DM85_SYMMI" 44.898 98 47 3 6 290 259 352 7.02e-15 69.3
"27636" "TRINITY_DN18715_c0_g2_i4" "tr|A0A1Q9EAT8|A0A1Q9EAT8_SYMMI" 47.077 325 154 7 215 1168 711 1024 3.1e-75 258
"27637" "TRINITY_DN18715_c0_g2_i1" "tr|A0A1Q9EAT8|A0A1Q9EAT8_SYMMI" 47.077 325 154 7 215 1168 711 1024 8.65e-74 258
"27638" "TRINITY_DN18780_c0_g2_i3" "tr|A0A1Q9DU93|A0A1Q9DU93_SYMMI" 35.326 184 105 4 1009 473 4724 4898 2.19e-20 95.9
"27639" "TRINITY_DN18780_c0_g2_i2" "tr|A0A1Q9DU93|A0A1Q9DU93_SYMMI" 35.326 184 105 4 1040 504 4724 4898 2.46e-20 95.9
"27640" "TRINITY_DN18767_c0_g2_i1" "tr|A0A1Q9EHQ5|A0A1Q9EHQ5_SYMMI" 38.972 467 229 10 2105 843 787 1243 4.06e-97 339
"27641" "TRINITY_DN18767_c0_g2_i1" "tr|A0A1Q9EHQ5|A0A1Q9EHQ5_SYMMI" 51.887 106 49 1 2759 2442 568 671 1.17e-26 119
"27642" "TRINITY_DN18719_c0_g1_i1" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 33.571 140 88 5 536 132 391 530 5.87e-16 76.6
"27643" "TRINITY_DN18737_c0_g1_i1" "tr|A0A1Q9DQN6|A0A1Q9DQN6_SYMMI" 38.397 237 135 7 849 172 899 1135 4.01e-38 155
"27644" "TRINITY_DN18769_c0_g1_i3" "tr|A0A1Q9DTL7|A0A1Q9DTL7_SYMMI" 49.798 741 331 17 179 2326 18 742 0 625
"27645" "TRINITY_DN18769_c0_g1_i1" "tr|A0A1Q9DTL7|A0A1Q9DTL7_SYMMI" 49.798 741 331 17 179 2326 18 742 0 625
"27646" "TRINITY_DN18769_c0_g1_i2" "tr|A0A1Q9DTL7|A0A1Q9DTL7_SYMMI" 49.798 741 331 17 179 2326 18 742 0 625
"27647" "TRINITY_DN18785_c0_g5_i1" "tr|A0A1Q9DG36|A0A1Q9DG36_SYMMI" 53.226 62 29 0 16 201 1088 1149 7.8e-12 71.6
"27648" "TRINITY_DN18785_c0_g3_i1" "tr|A0A1Q9C8G4|A0A1Q9C8G4_SYMMI" 42.424 132 73 2 398 12 470 601 8.58e-26 105
"27649" "TRINITY_DN18700_c0_g1_i2" "tr|A0A1Q9F068|A0A1Q9F068_SYMMI" 23.131 428 292 14 989 2194 72 488 3.33e-18 90.5
"27650" "TRINITY_DN18700_c0_g1_i1" "tr|A0A1Q9F068|A0A1Q9F068_SYMMI" 23.131 428 292 14 989 2194 72 488 3.16e-18 90.5
"27651" "TRINITY_DN18796_c0_g1_i2" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 44.068 590 326 4 2546 780 2340 2926 9.36e-159 521
"27652" "TRINITY_DN18796_c0_g1_i2" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 57.576 132 56 0 2939 2544 1462 1593 1.68e-41 167
"27653" "TRINITY_DN18796_c0_g1_i1" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 44.068 590 326 4 2591 825 2340 2926 1.47e-158 521
"27654" "TRINITY_DN18796_c0_g1_i1" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 57.576 132 56 0 2984 2589 1462 1593 1.89e-41 167
"27655" "TRINITY_DN18796_c0_g1_i4" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 44.068 590 326 4 2732 966 2340 2926 5.07e-158 521
"27656" "TRINITY_DN18796_c0_g1_i4" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 57.576 132 56 0 3125 2730 1462 1593 2.12e-41 167
"27657" "TRINITY_DN18796_c0_g1_i6" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 44.068 590 326 4 2591 825 2340 2926 1.42e-158 521
"27658" "TRINITY_DN18796_c0_g1_i6" "tr|A0A1Q9DRB4|A0A1Q9DRB4_SYMMI" 57.576 132 56 0 2984 2589 1462 1593 1.78e-41 167
"27659" "TRINITY_DN18736_c1_g1_i1" "tr|A0A1Q9D2F0|A0A1Q9D2F0_SYMMI" 36.752 117 67 3 350 3 567 677 4.52e-12 68.2
"27660" "TRINITY_DN18702_c0_g1_i1" "tr|A0A1Q9CI44|A0A1Q9CI44_SYMMI" 39.759 83 47 3 1 240 136 218 1.38e-11 59.3
"27661" "TRINITY_DN18702_c1_g1_i1" "tr|A0A1Q9CI44|A0A1Q9CI44_SYMMI" 34.524 84 53 2 2 247 144 227 2.04e-11 58.9
"27662" "TRINITY_DN18735_c0_g1_i1" "tr|A0A1Q9C7Y6|A0A1Q9C7Y6_SYMMI" 29.577 142 90 3 107 517 894 1030 9.14e-14 75.9
"27663" "TRINITY_DN18735_c0_g1_i2" "tr|A0A1Q9C7Y6|A0A1Q9C7Y6_SYMMI" 29.577 142 90 3 107 517 894 1030 8.35e-14 75.9
"27664" "TRINITY_DN35911_c0_g1_i1" "tr|A0A1Q9D8F2|A0A1Q9D8F2_SYMMI" 26.623 308 186 11 898 41 387 676 4.07e-20 93.2
"27665" "TRINITY_DN35951_c0_g1_i1" "tr|A0A1Q9DN13|A0A1Q9DN13_SYMMI" 48.148 81 41 1 62 304 2182 2261 6.13e-11 58.5
"27666" "TRINITY_DN35951_c0_g2_i1" "tr|A0A1Q9DN13|A0A1Q9DN13_SYMMI" 44.079 152 71 2 473 21 2402 2540 5.84e-30 118
"27667" "TRINITY_DN35996_c0_g3_i1" "tr|A0A1Q9F420|A0A1Q9F420_SYMMI" 55.102 196 84 3 1 588 41 232 2.78e-71 222
"27668" "TRINITY_DN35996_c0_g1_i1" "tr|A0A1Q9C684|A0A1Q9C684_SYMMI" 47.519 524 259 7 1 1548 93 608 2.26e-148 457
"27669" "TRINITY_DN35929_c0_g1_i1" "tr|A0A1Q9DBF9|A0A1Q9DBF9_SYMMI" 30.537 298 186 9 41 898 217 505 1.12e-27 114
"27670" "TRINITY_DN35921_c0_g1_i1" "tr|A0A1Q9DPS7|A0A1Q9DPS7_SYMMI" 45.946 74 40 0 233 12 458 531 4.91e-21 86.3
"27671" "TRINITY_DN36000_c0_g1_i1" "tr|A0A1Q9DYQ9|A0A1Q9DYQ9_SYMMI" 54.348 138 56 2 952 554 1 136 8.2e-41 141
"27672" "TRINITY_DN35908_c0_g1_i1" "tr|B4XPB9|B4XPB9_KARVE" 42.604 169 95 1 1817 1317 2 170 3.84e-37 140
"27673" "TRINITY_DN35955_c0_g1_i1" "tr|A0A1Q9CTU4|A0A1Q9CTU4_SYMMI" 45.5 200 103 4 588 1 7 204 8.41e-48 166
"27674" "TRINITY_DN35915_c0_g1_i3" "tr|A0A1Q9D043|A0A1Q9D043_SYMMI" 27.248 367 254 4 366 1430 122 487 6.99e-41 157
"27675" "TRINITY_DN35915_c0_g1_i1" "tr|A0A1Q9D043|A0A1Q9D043_SYMMI" 27.248 367 254 4 366 1430 122 487 6.63e-41 157
"27676" "TRINITY_DN35915_c0_g1_i2" "tr|A0A1Q9D043|A0A1Q9D043_SYMMI" 27.248 367 254 4 366 1430 122 487 8.57e-41 157
"27677" "TRINITY_DN35995_c0_g2_i1" "tr|A0A1Q9C809|A0A1Q9C809_SYMMI" 56.061 66 27 1 200 3 378 441 6.76e-15 71.6
"27678" "TRINITY_DN35985_c0_g1_i1" "tr|A0A1Q9DAR4|A0A1Q9DAR4_SYMMI" 37.931 145 71 5 408 25 719 861 8.48e-16 73.9
"27679" "TRINITY_DN61143_c0_g1_i1" "tr|A0A1Q9CL55|A0A1Q9CL55_SYMMI" 55.556 180 68 4 519 4 1294 1469 6.04e-54 184
"27680" "TRINITY_DN61185_c0_g1_i1" "tr|A0A1Q9DKL6|A0A1Q9DKL6_SYMMI" 67.123 73 24 0 2 220 959 1031 1.15e-34 124
"27681" "TRINITY_DN61134_c0_g1_i1" "tr|A0A1Q9D1R4|A0A1Q9D1R4_SYMMI" 34.513 113 67 3 16 339 1197 1307 8.11e-17 75.9
"27682" "TRINITY_DN61174_c0_g1_i1" "tr|A0A1Q9DJJ9|A0A1Q9DJJ9_SYMMI" 56.863 51 22 0 14 166 250 300 5.53e-13 62.8
"27683" "TRINITY_DN61165_c0_g1_i1" "tr|A0A1Q9EK50|A0A1Q9EK50_SYMMI" 41.026 78 45 1 237 7 875 952 9.41e-11 58.2
"27684" "TRINITY_DN61132_c0_g1_i1" "tr|A0A1Q9DKI8|A0A1Q9DKI8_SYMMI" 50 70 32 1 203 3 288 357 1.05e-15 70.5
"27685" "TRINITY_DN10520_c0_g3_i1" "tr|A0A1Q9E4R0|A0A1Q9E4R0_SYMMI" 31.235 413 264 10 1731 532 313 718 1.49e-56 206
"27686" "TRINITY_DN10565_c1_g1_i1" "tr|A0A1Q9D5U3|A0A1Q9D5U3_SYMMI" 50.413 484 221 5 95 1516 24 498 1.22e-147 462
"27687" "TRINITY_DN10573_c0_g1_i2" "tr|A0A1Q9EWD5|A0A1Q9EWD5_SYMMI" 46.739 92 47 2 157 426 5 96 1.17e-17 83.6
"27688" "TRINITY_DN10573_c0_g1_i1" "tr|A0A1Q9EWD5|A0A1Q9EWD5_SYMMI" 37.662 231 126 6 157 834 5 222 2.05e-39 146
"27689" "TRINITY_DN10573_c0_g2_i1" "tr|A0A1Q9DJM9|A0A1Q9DJM9_SYMMI" 42.748 393 192 12 210 1346 812 1185 1.02e-86 293
"27690" "TRINITY_DN10578_c0_g1_i7" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 35.849 106 65 3 309 1 389 494 9.09e-12 61.6
"27691" "TRINITY_DN10578_c0_g1_i7" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 31.624 117 77 3 342 1 407 523 5.37e-11 59.3
"27692" "TRINITY_DN10578_c0_g1_i1" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 36.986 73 44 2 224 12 451 523 5.09e-12 53.1
"27693" "TRINITY_DN10578_c0_g1_i1" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 39.024 41 24 1 366 247 393 433 5.09e-12 34.7
"27694" "TRINITY_DN10578_c0_g1_i8" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 33.333 102 65 3 297 1 393 494 2.2e-11 60.5
"27695" "TRINITY_DN10578_c0_g1_i8" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 33.333 102 65 3 297 1 422 523 6.85e-11 58.9
"27696" "TRINITY_DN10587_c0_g1_i3" "tr|A0A1Q9BSV4|A0A1Q9BSV4_SYMMI" 24.38 242 146 6 916 299 288 528 7.13e-14 76.3
"27697" "TRINITY_DN10587_c0_g1_i2" "tr|A0A1Q9BSV4|A0A1Q9BSV4_SYMMI" 24.38 242 146 6 916 299 288 528 7.13e-14 76.3
"27698" "TRINITY_DN10587_c0_g1_i1" "tr|A0A1Q9DP41|A0A1Q9DP41_SYMMI" 23.345 287 178 7 1036 299 267 552 5.46e-14 76.6
"27699" "TRINITY_DN10587_c0_g1_i4" "tr|A0A1Q9DP41|A0A1Q9DP41_SYMMI" 23.345 287 178 7 1036 299 267 552 5.76e-14 76.6
"27700" "TRINITY_DN10566_c2_g1_i1" "tr|A0A1Q9F173|A0A1Q9F173_SYMMI" 45.763 177 91 3 647 129 756 931 9.52e-35 143
"27701" "TRINITY_DN10506_c0_g1_i6" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 28.724 1027 565 30 176 2824 932 1935 1.79e-98 354
"27702" "TRINITY_DN10506_c0_g1_i6" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 46.909 275 143 3 2858 3682 2093 2364 3.99e-67 253
"27703" "TRINITY_DN10506_c0_g1_i2" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 28.724 1027 565 30 176 2824 932 1935 3.72e-99 354
"27704" "TRINITY_DN10506_c0_g1_i2" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 46.909 275 143 3 2858 3682 2093 2364 2.41e-67 253
"27705" "TRINITY_DN10506_c0_g1_i4" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 28.724 1027 565 30 176 2824 932 1935 6.62e-99 354
"27706" "TRINITY_DN10506_c0_g1_i4" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 46.909 275 143 3 2858 3682 2093 2364 2.9e-67 253
"27707" "TRINITY_DN10506_c0_g1_i5" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 28.724 1027 565 30 176 2824 932 1935 7.76e-99 354
"27708" "TRINITY_DN10506_c0_g1_i5" "tr|A0A1Q9EQW8|A0A1Q9EQW8_SYMMI" 46.909 275 143 3 2858 3682 2093 2364 3.05e-67 253
"27709" "TRINITY_DN10501_c0_g2_i1" "tr|A0A0F6Y5N1|A0A0F6Y5N1_9DINO" 100 233 0 0 38 736 1 233 4.09e-172 478
"27710" "TRINITY_DN10583_c0_g2_i3" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 36.842 133 80 4 113 499 391 523 2.15e-22 95.5
"27711" "TRINITY_DN10583_c0_g2_i3" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 33.125 160 102 5 35 499 393 552 2.26e-21 92.4
"27712" "TRINITY_DN10583_c0_g2_i4" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 33.898 118 70 4 224 553 377 494 2.16e-14 71.6
"27713" "TRINITY_DN10583_c0_g2_i4" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 35.185 108 67 3 239 553 445 552 5.94e-14 70.5
"27714" "TRINITY_DN10583_c0_g2_i5" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 35.252 139 86 4 227 631 385 523 8.87e-22 94
"27715" "TRINITY_DN10511_c0_g1_i1" "tr|A0A1Q9D0M2|A0A1Q9D0M2_SYMMI" 28.228 333 191 4 109 1095 150 438 8.9e-34 133
"27716" "TRINITY_DN10581_c0_g1_i2" "tr|A0A1Q9EXZ5|A0A1Q9EXZ5_SYMMI" 45.113 133 63 3 491 865 773 903 3.09e-15 79.7
"27717" "TRINITY_DN10581_c0_g1_i2" "tr|A0A1Q9EXZ5|A0A1Q9EXZ5_SYMMI" 46.269 134 62 3 488 865 805 936 2.06e-12 70.9
"27718" "TRINITY_DN10581_c0_g1_i1" "tr|A0A1Q9EXZ5|A0A1Q9EXZ5_SYMMI" 45.113 133 63 3 491 865 773 903 3.06e-15 79.7
"27719" "TRINITY_DN10581_c0_g1_i1" "tr|A0A1Q9EXZ5|A0A1Q9EXZ5_SYMMI" 46.269 134 62 3 488 865 805 936 2.05e-12 70.9
"27720" "TRINITY_DN10502_c0_g1_i2" "tr|A0A1Q9EWB1|A0A1Q9EWB1_SYMMI" 36.765 340 199 5 1684 698 4 338 4.5e-54 199
"27721" "TRINITY_DN10502_c0_g1_i5" "tr|A0A1Q9EWB1|A0A1Q9EWB1_SYMMI" 36.765 340 199 5 1489 503 4 338 1.06e-54 199
"27722" "TRINITY_DN10502_c0_g1_i6" "tr|A0A1Q9EWB1|A0A1Q9EWB1_SYMMI" 36.765 340 199 5 1257 271 4 338 1.52e-55 199
"27723" "TRINITY_DN10502_c0_g1_i4" "tr|A0A1Q9EWB1|A0A1Q9EWB1_SYMMI" 36.765 340 199 5 1909 923 4 338 1.91e-53 199
"27724" "TRINITY_DN10502_c0_g1_i1" "tr|A0A1Q9EWB1|A0A1Q9EWB1_SYMMI" 36.765 340 199 5 1651 665 4 338 3.57e-54 199
"27725" "TRINITY_DN10550_c0_g2_i1" "tr|A0A1Q9E1T1|A0A1Q9E1T1_SYMMI" 30.088 226 139 6 2259 1612 4 220 1.06e-14 76.6
"27726" "TRINITY_DN10569_c1_g1_i1" "tr|A0A1Q9DDI5|A0A1Q9DDI5_SYMMI" 36.723 177 103 2 888 379 125 299 2.85e-21 93.2
"27727" "TRINITY_DN10569_c1_g1_i1" "tr|A0A1Q9DDI5|A0A1Q9DDI5_SYMMI" 32.967 182 113 2 888 364 158 337 2.44e-17 82.4
"27728" "TRINITY_DN10569_c1_g1_i1" "tr|A0A1Q9DDI5|A0A1Q9DDI5_SYMMI" 33.962 159 103 1 855 379 110 266 9.27e-14 72
"27729" "TRINITY_DN10569_c0_g1_i5" "tr|A0A1Q9DA57|A0A1Q9DA57_SYMMI" 56.318 641 271 5 2672 771 1006 1644 0 734
"27730" "TRINITY_DN10569_c0_g1_i4" "tr|A0A1Q9DA57|A0A1Q9DA57_SYMMI" 56.318 641 271 5 2346 445 1006 1644 0 734
"27731" "TRINITY_DN10569_c0_g1_i2" "tr|A0A1Q9DA57|A0A1Q9DA57_SYMMI" 56.318 641 271 5 2724 823 1006 1644 0 734
"27732" "TRINITY_DN10580_c0_g2_i1" "tr|A0A1Q9C129|A0A1Q9C129_SYMMI" 29.128 436 302 3 2399 1110 134 568 6.89e-54 201
"27733" "TRINITY_DN10580_c0_g2_i1" "tr|A0A1Q9C129|A0A1Q9C129_SYMMI" 28.241 432 308 2 2354 1062 114 544 2.34e-53 199
"27734" "TRINITY_DN10580_c0_g2_i1" "tr|A0A1Q9C129|A0A1Q9C129_SYMMI" 30.17 411 274 5 2399 1185 204 607 1.24e-51 194
"27735" "TRINITY_DN10580_c0_g2_i1" "tr|A0A1Q9C129|A0A1Q9C129_SYMMI" 26.506 415 303 2 2345 1104 47 460 1.09e-44 173
"27736" "TRINITY_DN10580_c0_g2_i1" "tr|A0A1Q9C129|A0A1Q9C129_SYMMI" 29.355 310 207 3 2399 1485 309 611 6.59e-34 140
"27737" "TRINITY_DN10580_c0_g2_i1" "tr|A0A1Q9C129|A0A1Q9C129_SYMMI" 25 312 233 1 2036 1104 44 355 1.45e-26 117
"27738" "TRINITY_DN10527_c0_g1_i1" "tr|A0A1Q9DFG3|A0A1Q9DFG3_SYMMI" 44.534 247 133 3 1813 1082 68 313 8.82e-49 173
"27739" "TRINITY_DN10562_c0_g1_i1" "tr|A0A1Q9DJZ6|A0A1Q9DJZ6_SYMMI" 48.921 139 64 2 1289 885 119 254 2.86e-30 127
"27740" "TRINITY_DN10562_c0_g1_i2" "tr|A0A1Q9DJZ6|A0A1Q9DJZ6_SYMMI" 48.921 139 64 2 607 203 119 254 4.16e-32 127
"27741" "TRINITY_DN10562_c0_g1_i3" "tr|A0A1Q9DJZ6|A0A1Q9DJZ6_SYMMI" 48.921 139 64 2 1416 1012 119 254 4.65e-30 127
"27742" "TRINITY_DN10538_c0_g1_i8" "tr|A0A1Q9DSD8|A0A1Q9DSD8_SYMMI" 26.91 301 186 7 1401 589 29 325 2.91e-26 110
"27743" "TRINITY_DN10538_c0_g1_i5" "tr|A0A1Q9DSD8|A0A1Q9DSD8_SYMMI" 26.91 301 186 7 1452 640 29 325 3.43e-26 110
"27744" "TRINITY_DN10538_c0_g1_i2" "tr|A0A1Q9DSD8|A0A1Q9DSD8_SYMMI" 26.91 301 186 7 1071 259 29 325 6.51e-27 110
"27745" "TRINITY_DN10538_c0_g1_i6" "tr|A0A1Q9DSD8|A0A1Q9DSD8_SYMMI" 26.91 301 186 7 1468 656 29 325 3.58e-26 110
"27746" "TRINITY_DN10505_c0_g1_i1" "tr|A0A1Q9DUX4|A0A1Q9DUX4_SYMMI" 27.798 277 176 9 1339 542 232 495 1.06e-15 80.9
"27747" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 44.578 166 87 1 734 237 43 203 1.83e-27 111
"27748" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 44.444 153 85 0 695 237 249 401 1.38e-26 109
"27749" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 41.026 156 92 0 704 237 180 335 1.98e-24 102
"27750" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 44.681 141 78 0 659 237 35 175 6.77e-24 101
"27751" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 38.922 167 102 0 734 234 335 501 2.3e-21 94
"27752" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 38.788 165 101 0 734 240 203 367 5.42e-21 92.8
"27753" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 40.523 153 91 0 695 237 315 467 3.87e-20 90.5
"27754" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 38.372 172 101 1 734 219 142 308 6.47e-20 89.7
"27755" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 42.029 138 80 0 650 237 5 142 6.54e-18 84
"27756" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 35.404 161 104 0 728 246 370 530 3.33e-17 82
"27757" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 39.286 168 101 1 734 234 434 601 2.2e-15 76.6
"27758" "TRINITY_DN10518_c0_g4_i1" "tr|A0A1Q9CZ28|A0A1Q9CZ28_SYMMI" 39.64 111 67 0 551 219 5 115 2.24e-11 64.7
"27759" "TRINITY_DN10572_c0_g1_i2" "tr|A0A1Q9DPX0|A0A1Q9DPX0_SYMMI" 25.153 489 268 18 287 1567 1225 1677 4.42e-15 81.6
"27760" "TRINITY_DN10572_c0_g1_i1" "tr|A0A1Q9DPX0|A0A1Q9DPX0_SYMMI" 25.153 489 268 18 287 1567 1225 1677 5.04e-15 81.6
"27761" "TRINITY_DN10536_c0_g1_i5" "tr|A0A1Q9CV77|A0A1Q9CV77_SYMMI" 41.975 81 47 0 593 351 16 96 3.67e-23 90.9
"27762" "TRINITY_DN10536_c0_g1_i1" "tr|A0A1Q9CV77|A0A1Q9CV77_SYMMI" 41.975 81 47 0 507 265 16 96 1.82e-23 90.9
"27763" "TRINITY_DN10536_c0_g1_i3" "tr|A0A1Q9CV77|A0A1Q9CV77_SYMMI" 41.975 81 47 0 460 218 16 96 6.05e-23 89.4
"27764" "TRINITY_DN10568_c0_g1_i3" "tr|A0A1Q9DV24|A0A1Q9DV24_SYMMI" 35.678 199 107 6 273 821 616 809 5.17e-22 91.7
"27765" "TRINITY_DN10568_c0_g1_i3" "tr|A0A1Q9DV24|A0A1Q9DV24_SYMMI" 32 50 32 1 110 253 568 617 5.17e-22 32.3
"27766" "TRINITY_DN10568_c0_g1_i8" "tr|A0A1Q9DV24|A0A1Q9DV24_SYMMI" 35.678 199 107 6 9 557 616 809 3.69e-19 90.1
"27767" "TRINITY_DN10568_c0_g1_i5" "tr|A0A1Q9DV24|A0A1Q9DV24_SYMMI" 34.661 251 138 8 110 808 567 809 2.95e-25 110
"27768" "TRINITY_DN10568_c0_g1_i1" "tr|A0A1Q9DV24|A0A1Q9DV24_SYMMI" 34.661 251 138 8 110 808 567 809 1.32e-25 110
"27769" "TRINITY_DN10517_c0_g1_i3" "tr|A0A1Q9CSS3|A0A1Q9CSS3_SYMMI" 44.199 181 98 2 209 745 9 188 1.15e-43 154
"27770" "TRINITY_DN10517_c0_g1_i1" "tr|A0A1Q9CSS3|A0A1Q9CSS3_SYMMI" 42.541 181 101 2 209 745 9 188 1.6e-40 147
"27771" "TRINITY_DN10517_c0_g1_i2" "tr|A0A1Q9CSS3|A0A1Q9CSS3_SYMMI" 47.887 142 72 1 194 613 47 188 5.08e-38 137
"27772" "TRINITY_DN61215_c0_g1_i1" "tr|A0A1Q9E7C1|A0A1Q9E7C1_SYMMI" 44.615 65 36 0 178 372 2 66 1.43e-14 66.2
"27773" "TRINITY_DN61232_c0_g1_i1" "tr|A0A1Q9DQH0|A0A1Q9DQH0_SYMMI" 37.5 104 37 3 324 52 131 219 8.91e-11 58.9
"27774" "TRINITY_DN61284_c0_g1_i1" "tr|A0A1Q9CQV4|A0A1Q9CQV4_SYMMI" 38.384 99 57 2 297 1 220 314 1.1e-15 72.4
"27775" "TRINITY_DN26902_c0_g2_i1" "tr|A0A1Q9C9W3|A0A1Q9C9W3_SYMMI" 53.689 244 111 1 58 783 1861 2104 9.84e-56 196
"27776" "TRINITY_DN26902_c0_g2_i5" "tr|A0A1Q9C9W3|A0A1Q9C9W3_SYMMI" 53.689 244 111 1 58 783 1861 2104 1.5e-52 196
"27777" "TRINITY_DN26902_c0_g2_i3" "tr|A0A1Q9C9W3|A0A1Q9C9W3_SYMMI" 53.689 244 111 1 58 783 1861 2104 1.53e-52 196
"27778" "TRINITY_DN26902_c0_g4_i1" "tr|A0A1Q9CHV2|A0A1Q9CHV2_SYMMI" 48.101 79 29 2 501 265 485 551 2.45e-15 76.3
"27779" "TRINITY_DN26902_c0_g1_i1" "tr|A0A1Q9CHU2|A0A1Q9CHU2_SYMMI" 44 100 35 2 719 474 82 178 1.43e-12 70.1
